# id|title|visual mode|narration
01|Odoo 19 and TallyPrime. One operational flow.|intro|Meet Scidecs TallyPrime Integration for Odoo 19: a free connector for Odoo operations and TallyPrime accounting, demonstrated here on a real test company.
02|Configure ownership, direction and control.|odoo_config|Each company has an Odoo control centre. Enable the required entities, choose direct or private-LAN connectivity, and set an explicit direction and source of truth.
03|Verify the books at the Tally source.|tally_config|The same Tally company maintains accounts with inventory and GST. Synchronization uses Tally's native XML gateway, with no spreadsheets, scraping or repeated entry.
04|Create once in standard Odoo.|odoo_live|A standard Odoo product is saved with its name, price, cost and SKU. The module detects the change and creates one durable outbound event automatically.
05|Run the sync. See the result on both sides.|split_live|Sync Now processes the event. TallyPrime opens its Stock Items register, where the same demo bearing appears. GUID and Alter ID mappings preserve identity beyond names.
06|The outbound event is acknowledged.|odoo_queue|Odoo's outbound queue shows the record, attempt count and acknowledged state. Idempotency makes retries safe and prevents intentional duplicate creation.
07|The synchronized SKU is preserved in Tally.|tally_stock_detail|Inside Tally, the received item shows the exact name and part number, VID260906-BEARING, plus its statutory and supply details. This is live application evidence.
08|Transactions remain inspectable.|tally_voucher|This live Tally receipt preserves its account, party, amount and reference. The connector also supports invoices, bills, returns, payments, journals, contra and inventory allocations.
09|Every inbound action leaves evidence.|odoo_logs|Odoo logs current Tally-to-Odoo imports with direction, entity, message and status. Operators can search records, inspect evidence and trace products, ledgers or vouchers.
10|Broad coverage. Clear functional boundaries.|operations|Twenty entity types cover masters, sales, purchases, returns, payments, journals, opening stock, adjustments and warehouse transfers through Tally Stock Journal allocations.
11|Recovery is part of the architecture.|reliability|Durable queues, stable mappings, watermarks, echo protection and conflict policy support controlled replay. Repeatedly malformed inbound records move to quarantine instead of blocking progress.
12|Free connector. Optional expert support.|outro|The LGPL-3 connector is free. Scidecs offers optional mapping, deployment, UAT and support, with complete architecture, operations and FAQ documentation included.
